"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Mpp4",467.805136585312,-0.804532668509533,0.105654006246665,1.51453127292008e-15,3.99098922965726e-13
"Shisa9",1020.96006456471,-0.445266343176758,0.0584109682377731,2.15943603040351e-15,5.50212327112423e-13
"Zfhx2os",2413.59099883537,-0.788386309036857,0.104172196589304,2.16469308343449e-15,5.50212327112423e-13
"Zeb2",1683.83585271504,-0.615159215982955,0.0811554599050997,2.25747843955032e-15,5.66145492926694e-13
"Clgn",432.416573230964,-0.64113663307309,0.0847731768489684,2.48677715176462e-15,6.15444624309747e-13
"C030029H02Rik",72.1640974412519,-1.33925873473575,0.177937622843871,2.75365579636644e-15,6.72643011348784e-13
"Cbarp",2712.06722521192,0.687652448020265,0.091278627191297,3.03658435592439e-15,7.22976141146607e-13
"P2ry12",182.057801709147,-1.03587757482092,0.137855288288006,3.03457129743974e-15,7.22976141146607e-13
"Plcxd2",4438.39616061043,-0.414020309327663,0.0548477889435941,4.1908723742636e-15,9.85326481094051e-13
"Ap1g2",600.491984447509,-0.780236257576699,0.104365582443953,4.41007415178523e-15,1.02406277433245e-12
"4933407L21Rik",95.5562759756686,-1.16355744468356,0.157368277144228,7.66856011872563e-15,1.75899935698915e-12
"Maff",46.11597368414,1.93092270485751,0.262612844274959,1.07999494203453e-14,2.44742468249729e-12
"Abcc12",462.212179239105,-0.615959089242685,0.083823855082555,1.33166666241859e-14,2.98182360159897e-12
"Car15",528.327156067441,-0.677698534424173,0.0927077434469666,1.66233439957705e-14,3.67845267313467e-12
"Rpl35a-ps6",34.1124642871299,-0.00510792323718542,0.12180361682119,1.77205683193969e-14,3.87565313394809e-12
"Chil1",188.87349122519,-0.845311954306349,0.116313329686933,2.08987532927495e-14,4.51821437567041e-12
"Metazoa_SRP",49.6602668735536,0.00529911509537194,0.121814236241549,2.12962201771629e-14,4.55182506036656e-12
"Prr18",883.495768251572,-0.875222103814475,0.120803444471639,2.34847584525664e-14,4.96320024420586e-12
"Timp4",7319.14884146942,0.408952730402072,0.0558945580183994,2.48735721398786e-14,5.19830020421085e-12
"Ifit3b",207.94981768123,-1.259904148385,0.176069581592751,4.13015611883353e-14,8.53671499331207e-12
"Amy1",1336.87066861082,0.799525541497243,0.112102193378653,5.72237083664504e-14,1.15733411899416e-11
"Mat2a",10640.4708443584,0.411257741463667,0.0570769934651792,5.66756271694089e-14,1.15733411899416e-11
"Cpne9",2041.18647564475,-0.43573274208067,0.0609079226867103,7.35487169197519e-14,1.45618717530907e-11
"Fosb",151.005632302065,2.76868679884761,0.392019997116696,7.28746512086133e-14,1.45618717530907e-11
"A330076C08Rik",105.238875919767,-1.84095560292098,0.260754491783115,7.84267301246063e-14,1.53659204886846e-11
"Mt3",5801.99053441563,0.444220415711117,0.0624350914072988,9.95031266694643e-14,1.92943743250098e-11
"Ifrd1",1389.74471799122,0.631436517550193,0.089409339826134,1.07331541697272e-13,2.05999894671836e-11
"Cdcp3",38.8126197436827,-2.02062588487337,0.288023077875711,1.26519599599404e-13,2.40374459481333e-11
"Htra1",5078.59127143332,0.494967101578707,0.0702514633117705,1.38497856807849e-13,2.60500618869883e-11
"Klf13",4573.5681996824,0.522293766541514,0.0745794359996795,1.85275176330502e-13,3.45033741742614e-11
"Gm16638",523.031638397994,-0.639294461790307,0.091644914748189,1.9674311988862e-13,3.62798170782848e-11
"Aqp4",9107.39770334241,-0.586420545866611,0.0840290686337103,2.02533231962917e-13,3.69849277668981e-11
"Slc1a6",5017.18772405212,-0.573041353156451,0.0822936791176675,2.26486782347565e-13,4.09614412420706e-11
"Atp1b1",44912.4791950772,0.29605326612046,0.0434487700680488,3.05996145208377e-13,5.48141094783272e-11
"Gjc3",2709.89139863517,-0.457013799191564,0.0665334943336128,5.01528957370646e-13,8.89930015017404e-11
"Bfsp2",135.111514788987,-1.36144339499189,0.200941496994922,5.89324496667374e-13,1.03594434185202e-10
"Hip1",3420.62157992943,0.346401279954199,0.0502630260133174,6.39958937725825e-13,1.11453589441528e-10
"Map6d1",1813.61835824665,-0.407911496655938,0.0596434064952476,7.43428062508054e-13,1.28285673648752e-10
"Gm28539",17.5647857488537,0.0052347508832572,0.121809307171176,8.04305934990516e-13,1.37529003011242e-10
"Ly86",174.455580295802,-0.807790557809901,0.119745176990931,8.62800754601127e-13,1.4620197651615e-10
"Lbh",1149.10383262176,-0.425596495723356,0.0629683537946561,1.23011327778357e-12,2.06582148587779e-10
"Sgk2",25.1435856839393,-2.48651509690263,0.371059805184341,1.30720235635123e-12,2.17585567439029e-10
"Col5a1",1653.45113821837,-0.582138762207266,0.0867955527939883,1.32342092522478e-12,2.18352843706605e-10
"Sorcs1",746.4291908172,0.585586830756874,0.0873492880931795,1.37449347761385e-12,2.24807372351642e-10
"St6galnac5",180.869786843849,-0.843618588942698,0.126941865085353,1.67069805869933e-12,2.70897929190308e-10
"Mog",1475.18891478798,-0.815088266905202,0.122949821739067,1.86496284135129e-12,2.99812701563901e-10
"Gpr137b",622.790009205085,-0.438998213318221,0.065754320461449,2.1466932308438e-12,3.42179262533399e-10
"Ogdhl",4166.73930800752,0.403914663945268,0.0607324815256688,2.78104216984605e-12,4.3956825355155e-10
"Slc38a2",9405.04331598129,0.331911776726702,0.0497337951987359,3.11148687185152e-12,4.8769963810546e-10
"Selplg",279.094056354338,-0.637641251148925,0.0974847116183964,3.83928966682292e-12,5.96803300357622e-10
"Abi3bp",750.701234953622,-0.498780182654187,0.0760545914706631,4.1462053339879e-12,6.35480169057397e-10
"Ptn",4403.06022037019,-0.489404681113559,0.0746314080480415,4.1556733900824e-12,6.35480169057397e-10
"Hexb",1556.67755930706,-0.36294138421531,0.0549351377940408,4.23766856807079e-12,6.42792807232609e-10
"Srxn1",3942.20474888517,0.520859610371419,0.0795861969413358,4.37802508274731e-12,6.58770190251154e-10
"Heph",291.713323775354,0.946436842108965,0.14599583567815,4.87698275234458e-12,7.28025147530549e-10
"Tmem88b",1696.90799101855,-0.528469476235733,0.0811070758940353,5.13736453940059e-12,7.60855823792013e-10
"Hmgcs1",3272.80099708505,-0.412905126954673,0.0634846931036911,6.28803088655369e-12,9.23996663634285e-10
"Gpd1",7281.15748709014,0.542289435287258,0.0839526349892689,7.46657725604486e-12,1.08867326828642e-09
"Fyco1",3033.48778164701,-0.309151942157424,0.0472549010325514,8.10764953737023e-12,1.17305215498767e-09
"Pim3",1348.59839924998,0.624238407950766,0.0971617233196469,8.5929748570809e-12,1.23378064188423e-09
"Gkn3",42.4624273969902,-2.40334256105103,0.378159999306165,9.24669397502989e-12,1.31758384072983e-09
"Rftn2",1017.91532146472,-0.43929115561785,0.068106642452048,9.36137737732296e-12,1.32389584278246e-09
"Lxn",1529.93887181276,-0.613333294460773,0.0959252693846419,1.01603730954138e-11,1.42616759366894e-09
"Pla1a",74.5503115320224,1.59298820349682,0.25094492202994,1.08997720656239e-11,1.51862083542459e-09
"Hpgd",144.706591626235,-0.836017116679894,0.132327236786181,1.49456523206205e-11,2.06700569484229e-09
"Tubb2b",4324.21163041147,-0.464459176807832,0.0733052448480608,1.89925841369976e-11,2.60752930680866e-09
"Fa2h",909.802127690396,-0.641072301724271,0.101917064632901,1.9555024411753e-11,2.66529314609176e-09
"Gm11266",199.471627127888,-0.77928996875784,0.124275462839707,2.00719942480031e-11,2.71607294827834e-09
"Gpat4",3869.85909767605,0.270495896892329,0.0420279269238394,2.0930015868174e-11,2.81194763188918e-09
"Atf4",7775.95402062742,0.380009555044635,0.0598245326909394,2.16129851634225e-11,2.88311090736747e-09
"Necab3",670.503187982326,-0.690026051375056,0.110556210525336,2.50345305913665e-11,3.31601750628882e-09
"Emp2",1076.05276196738,-0.486026704890601,0.0774293371728064,2.6311477761186e-11,3.43675406395936e-09
"Sh3pxd2b",590.582287361889,-0.575258267739414,0.0919753854553786,2.62932572464488e-11,3.43675406395936e-09
"Folh1",429.435295081455,0.72409564425831,0.116267661190282,2.80267353511144e-11,3.63555079461456e-09
"Sesn3",4885.90028145999,-0.33912266312969,0.0536390697207609,2.96403244232207e-11,3.81852645257779e-09
"Dio2",1188.44513506599,0.556423557777663,0.0896472847467551,3.774787946856e-11,4.82993105390575e-09
"Ankrd24",1176.11291153131,-0.441735255348975,0.0709728094923124,4.07383188635662e-11,5.17734486151903e-09
"Ramp1",1082.86514097076,-0.427436819616136,0.0687129059809624,4.31733332074614e-11,5.44998137113518e-09
"Gm38102",868.184792023098,-0.475540733576434,0.0766723607069642,4.35499613938738e-11,5.46087482571582e-09
"Gnl3",1501.74070540848,0.387594307011984,0.06256677944963,5.76319200892589e-11,7.17879990038987e-09
"Crocc",1634.89611268149,-0.457183885529174,0.0742610535947105,5.98676715671385e-11,7.40823049017308e-09
"Klf10",410.508661110032,0.953534166701551,0.157588387372528,7.46310133727182e-11,9.17473680083305e-09
"Msmo1",1124.18651433407,-0.48512072241508,0.0795225848372911,8.03794606865556e-11,9.81725503930795e-09
"Hspa9",9962.94926890302,0.343735764541751,0.0556875237534563,8.64125951407197e-11,1.04860290451729e-08
"Gbp3",140.162996178523,-0.952688509260211,0.158250304324668,8.87867520786571e-11,1.07050642297914e-08
"Gm16201",205.635689614974,0.664816479759231,0.110105255822081,9.58446774244613e-11,1.14824365457114e-08
"Pla2g5",109.160441175211,1.11001970868775,0.185055663766288,1.01666897695829e-10,1.21028650554484e-08
"Mgll",2688.69905967206,-0.374716357364504,0.0614329027952338,1.07900729866245e-10,1.2764181308517e-08
"Plekhd1os",70.7143132002169,-1.42058312637275,0.238479573148602,1.26219105150283e-10,1.4837844679823e-08
"C530025M09Rik",100.197197914649,-0.854432769555219,0.143630678176862,1.49464655871077e-10,1.7461370883721e-08
"Phldb1",4757.28754594291,-0.406313825740868,0.0675501480774197,1.63262561516495e-10,1.89555896269367e-08
"Vgf",763.939911214721,1.39761045360884,0.23746201931169,1.88212019179182e-10,2.17182814033204e-08
"mt-Atp8",4517.18673016007,0.558135502079699,0.0939874985803777,1.97515886785196e-10,2.2652904356968e-08
"Ctss",976.985202085245,-0.475100629125549,0.0797809693967361,2.01276342512362e-10,2.29442831897879e-08
"Slc25a5",10608.9965580552,0.260532952175584,0.0427133804269198,2.08137730106248e-10,2.3583509431135e-08
"Mgp",1001.14604160802,0.867151583540828,0.147525245046815,2.21263568158734e-10,2.49206374460936e-08
